CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;ARTICLE;DESIGNATION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;DEVIS;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre DAS EI30;1353425;BLOC PORTE VITRE DAS SIMPLE ACTION EI30 - Huisserie bois dur a peindre 80X58 - Asservissement GEZE TS WOODF3;2240;1460;2467.33;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Chassis Fixe Vitre;3433808;CHASSIS FIXE VITRE - Huisserie FRENE MASSIF A VERNIR sans rainure a brique 100X58 - Vitrage STADIP 44.2;1750;900;463.66;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;1701603;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2040;630;137.36;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;1701603;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2040;830;140.50;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;3170616;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 118X54 - porte cadre resineux 3 ples de 130;2040;830;210.78;D198447;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;3170616;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 88X54 - porte cadre resineux 3 ples de 130;2040;830;168.71;D198447;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine Non Feu;3170616;BLOC PORTE AME PLEINE NON FEU - Huisserie bois dur a peindre 66X54 - placage 2 faces CHENE A VERNIR;2040;930;304.36;D198215;Dispano;CABINET D'AVOCAT PARIS;Fiches_techniques\Portes et chassis\Bloc porte plane prépein.pdf;Devis_fournisseur\Dispano\M3248000121110.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine Non Feu;3170616;BLOC PORTE AME PLEINE NON FEU - Huisserie bois dur a peindre 66X54 - placage 2 faces CHENE A VERNIR;2040;1030;373.10;D198215;Dispano;CABINET D'AVOCAT PARIS;Fiches_techniques\Portes et chassis\Bloc porte plane prépein.pdf;Devis_fournisseur\Dispano\M3248000121110.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;1701603;BLOC PORTE AME PLEINE - Huisserie resineux massif a peindre 98X58 - porte cadre bois dur 4 ples de 130 - Stratifie;2040;930;249.51;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;3170616;PORTE AME PLEINE - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;2140;930;283.29;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
